64,Yogurt,"Yogurt, NS as to type of milk, flavors other than fruit",9.82,0.0,05.09,3.2,9.82,0.043,82.51,0.413,0.043,0.97,1.51,178,0.013,0.08,16,140,227,68,0.86,14,0.54,0.048,0.8,0.03,0.2
65,Yogurt,"Yogurt, whole milk, flavors other than fruit",9.41,0.0,3.3,2.1,9.42,0.028,83.5,0.848,0.087,1.991,3.1,115,0.009,0.05,11,90,147,44,0.56,26,0.35,0.03,0.5,0.06,0.2
66,Yogurt,"Yogurt, low fat milk, flavors other than fruit",9.82,0.0,05.09,3.2,9.82,0.043,82.51,0.413,0.043,0.97,1.51,178,0.013,0.08,16,140,227,68,0.86,14,0.54,0.048,0.8,0.03,0.2
67,Yogurt,"Yogurt, nonfat milk, flavors other than fruit",10.44,0.0,5.56,3.5,10.44,0.047,82.66,0.048,0.005,0.113,0.18,193,0.015,0.09,18,152,247,75,0.94,2,0.59,0.051,0.9,0.0,0.2
68,Yogurt,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",9.54,0.0,8.64,9.7,9.54,0.038,78.76,0.846,0.203,1.465,2.5,100,0.018,0.04,10,119,123,40,0.46,110,0.64,0.05,0.0,0.02,0.2
69,Yogurt,"Yogurt, Greek, whole milk, flavors other than fruit",9.35,0.0,8.47,9.5,9.35,0.037,77.19,1.404,0.273,2.674,4.44,98,0.018,0.04,10,117,121,39,0.45,125,0.63,0.049,0.0,0.08,0.4
70,Yogurt,"Yogurt, Greek, low fat milk, flavors other than fruit",9.54,0.0,8.64,9.7,9.54,0.038,78.76,0.846,0.203,1.465,2.5,100,0.018,0.04,10,119,123,40,0.46,110,0.64,0.05,0.0,0.02,0.2
71,Yogurt,"Yogurt, Greek, nonfat milk, flavors other than fruit",10.37,0.5,8.64,9.7,9.54,0.042,80.26,0.039,0.009,0.133,0.18,99,0.018,0.04,10,119,123,34,0.46,0,0.64,0.05,0.0,0.02,0.1
72,Yogurt,"Yogurt, Greek, with oats",22.38,1.9,8.9,10.2,12.07,0.094,63.61,1.629,0.915,1.478,4.29,96,0.063,0.64,27,165,184,53,0.75,88,0.53,0.077,0.1,0.24,2.3
73,Yogurt,"Yogurt, liquid",11.81,0.1,3.71,2.5,9.78,0.032,82.57,0.302,0.031,0.701,01.09,131,0.021,0.1,12,103,171,53,0.63,10,0.39,0.036,1.4,0.03,0.1
